word,count
empty,102
evidently,102
peace,102
shoulders,102
truly,102
devil,101
broke,101
broad,101
addressed,101
knees,101
intention,101
information,101
remembrance,101
possession,101
youth,101
yesterday,101
appear,100
journey,100
line,100
earnest,100
fit,100
gentle,100
glanced,100
narrow,100
sooner,100
tired,100
allow,99
affairs,99
blind,99
clerk,99
eat,99
receive,99
moving,99
occupied,99
third,99
wopsle,99
worthy,99
working,99
devoted,98
address,98
experience,98
gently,98
supper,98
turns,98
usually,98
alive,97
board,97
dorrit's,97
drawn,97
gloomy,97
familiar,97
lead,97
judge,97
personal,97
pleased,97
solitary,97
trembling,97
temper,97
yer,97
crying,96
caused,96
chadband,96
bare,96
history,96
remembered,96
telling,96
wet,96
blow,95
hung,95
pointed,95
promise,95
bates,94
disposed,94
honest,94
leg,94
latter,94
greatly,94
pound,94
phil,94
occasionally,94
murder,94
memory,94
relief,94
slow,94
bundle,93
grown,93
frightened,93
maylie,93
matters,93
kissed,93
single,93
shown,93
roof,93
minor,93
parlour,93
possibly,93
watched,93
cathedral,92
downstairs,92
gold,92
existence,92
filled,92
placed,92
odd,92
moments,92
sensible,92
sits,92
volumnia,92
twinkleton,92
turnkey,92
wore,92
begun,91
bridge,91
asks,91
finished,91
inquiry,91
leaning,91
lights,91
ring,91
observe,91
nine,91
pointing,91
pockets,91
witness,91
whispered,91
talked,91
accustomed,90
boat,90
cheerful,90
circumlocution,90
proceeded,90
occasions,90
replies,90
roads,90
somewhere,90
waistcoat,90
wot,90
chin,89
birds,89
aged,89
difference,89
demanded,89
coffee,89
horse,89
friendly,89
fond,89
hearts,89
hers,89
reasons,89
worst,89
younger,89
utmost,89
delicate,88
burning,88
game,88
equally,88
informed,88
liked,88
lose,88
speech,88
pavement,88
welcome,88
throat,88
trade,88
summer,88
steady,88
anywhere,87
comfortable,87
likewise,87
hopes,87
establishment,87
flite,87
heavily,87
scene,87
unhappy,87
you’ll,87
communication,86
dearest,86
dismal,86
ashamed,86
chamber,86
golden,86
lamp,86
knife,86
locked,86
understanding,86
violent,86
stones,86
sufficiently,86
tellson's,86
bye,85
bonnet,85
baby,85
admit,85
desk,85
covered,85
continued,85
clennam's,85
interested,85
gives,85
formed,85
guard,85
raising,85
waited,85
brown,84
chimney,84
chief,84
gracious,84
goodness,84
lower,84
lies,84
mark,84
weeks,84
twelve,84
touching,84
